unix,date,symbol,open,high,low,close,volume-btc,Volume USD
1636156800,2021-11-06 00:00:00,BTC/USD,61008.19,61609.50,60109.91,61542.44,1268.51181970,78067312.55317807
1636070400,2021-11-05 00:00:00,BTC/USD,61430.02,62666.52,60769.17,61031.91,1569.40792218,95783963.05977677
1635984000,2021-11-04 00:00:00,BTC/USD,62945.38,63136.82,60725.00,61457.25,1507.54272229,92649429.9694571
1635897600,2021-11-03 00:00:00,BTC/USD,63260.00,63567.21,60018.46,62930.72,2148.47086339,135204818.33215433
1635811200,2021-11-02 00:00:00,BTC/USD,60949.78,64300.00,60669.91,63260.00,3336.52681752,211068686.4763152
1635724800,2021-11-01 00:00:00,BTC/USD,61356.57,62500.00,59500.00,60922.85,2507.39797107,152757830.48180196
1635638400,2021-10-31 00:00:00,BTC/USD,61904.96,62438.85,60000.00,61359.44,1548.12901591,94992329.46398869
1635552000,2021-10-30 00:00:00,BTC/USD,62278.92,62376.32,60660.02,61932.30,1542.31917477,95519373.82760808
1635465600,2021-10-29 00:00:00,BTC/USD,60608.95,62971.54,60154.53,62301.59,3884.64236172,242019395.7165111
1635379200,2021-10-28 00:00:00,BTC/USD,58471.06,62524.00,56425.00,60592.76,3769.75506439,228419863.87536782
1635292800,2021-10-27 00:00:00,BTC/USD,60331.40,61489.00,58100.01,58465.90,3479.73809611,203446019.55335763
1635206400,2021-10-26 00:00:00,BTC/USD,63101.43,63299.30,59830.00,60328.22,1965.54522515,118577844.76279874
1635120000,2021-10-25 00:00:00,BTC/USD,60883.96,63733.93,60670.00,63101.43,1730.14621615,109174700.3481541
1635033600,2021-10-24 00:00:00,BTC/USD,61306.64,61497.33,59510.00,60910.16,1204.84773547,73387468.34311539
1634947200,2021-10-23 00:00:00,BTC/USD,60698.54,61737.38,59633.61,61338.76,1056.07965827,64778616.699505545
1634860800,2021-10-22 00:00:00,BTC/USD,62207.51,63757.28,59953.74,60702.68,3159.42528548,191785582.0884011
1634774400,2021-10-21 00:00:00,BTC/USD,66027.81,66664.10,61850.00,62219.44,3891.52853281,242128726.05545983
1634688000,2021-10-20 00:00:00,BTC/USD,64282.20,67016.50,63529.00,65990.31,3070.68430005,202635408.8724325
1634601600,2021-10-19 00:00:00,BTC/USD,62014.99,64499.00,61350.00,64241.61,3253.73979225,209025482.77520552
1634515200,2021-10-18 00:00:00,BTC/USD,61519.52,62679.00,59013.00,62034.65,5754.55184160,356981609.4005115
1634428800,2021-10-17 00:00:00,BTC/USD,60885.27,61712.00,58933.00,61538.97,1261.12996084,77608638.82623394
1634342400,2021-10-16 00:00:00,BTC/USD,61703.45,62352.00,60100.27,60870.26,1263.44800176,76906408.36361165
1634256000,2021-10-15 00:00:00,BTC/USD,57370.48,62944.94,56877.00,61657.35,4205.42307030,259295242.14356172
1634169600,2021-10-14 00:00:00,BTC/USD,57395.84,58550.00,56830.56,57371.58,1879.45401231,107827246.22356416
1634083200,2021-10-13 00:00:00,BTC/USD,56004.61,57773.89,54231.00,57374.55,3359.69683046,192761093.7840688
1633996800,2021-10-12 00:00:00,BTC/USD,57490.00,57701.00,53909.00,55995.49,3224.83970306,180576479.3442992
1633910400,2021-10-11 00:00:00,BTC/USD,54657.00,57855.79,54462.45,57485.20,1955.78560334,112428726.56512056
1633824000,2021-10-10 00:00:00,BTC/USD,54984.49,56561.00,51000.00,54714.95,1735.42193508,94953524.40680544
